                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.265,                 3.5774,                 4.3435,                0.00398,                0.36634,                0.00718,                0.00272,                 3.3445,                 3.7425,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2071,                 3.5595,                  4.279,                0.00398,                0.36634,                0.00827,                0.00274,                 3.3443,                 3.7427,                  4.159,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 3.4004,                 3.5629,                  4.252,                0.00398,                0.36634,                0.01359,                0.00482,                 3.3441,                  3.743,                 4.1589,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 3.3666,                  3.534,                 4.2869,                0.00398,                0.36634,                0.01973,                0.00586,                 3.3438,                 3.7433,                 4.1586,             0.00013584,             0.00013584,             0.00013584
                      5,                 3.3827,                 3.6242,                 4.2317,                0.00398,                0.36634,                0.01314,                0.00426,                 3.3435,                 3.7436,                  4.158,             0.00017287,             0.00017287,             0.00017287
                      6,                  3.437,                 3.5269,                 4.2195,                0.00398,                0.36634,                  0.031,                0.00831,                 3.3432,                 3.7438,                 4.1571,             0.00020911,             0.00020911,             0.00020911
                      7,                 3.5464,                 3.5237,                 4.1964,                0.00409,                0.37624,                0.02228,                0.00599,                 3.3428,                  3.744,                  4.156,             0.00024456,             0.00024456,             0.00024456
                      8,                 3.4061,                 3.4319,                 4.2228,                0.00398,                0.36634,                0.02652,                0.00893,                 3.3422,                 3.7441,                 4.1544,             0.00027921,             0.00027921,             0.00027921
                      9,                 3.3196,                 3.5314,                 4.1643,                0.00398,                0.36634,                0.01661,                 0.0053,                 3.3419,                 3.7441,                 4.1535,             0.00031307,             0.00031307,             0.00031307
                     10,                 3.4245,                 3.4867,                 4.1483,                0.00409,                0.37624,                0.01181,                0.00403,                 3.3414,                 3.7441,                 4.1521,             0.00034614,             0.00034614,             0.00034614
                     11,                 3.6004,                 3.4277,                 4.1467,                0.00398,                0.36634,                0.01212,                0.00441,                 3.3408,                 3.7437,                 4.1505,             0.00037842,             0.00037842,             0.00037842
                     12,                 3.5719,                 3.3801,                 4.1361,                0.00398,                0.36634,                0.01375,                0.00486,                 3.3399,                  3.743,                 4.1487,             0.00040991,             0.00040991,             0.00040991
                     13,                 3.1477,                 3.3699,                 4.1297,                0.00398,                0.36634,                0.01331,                0.00458,                 3.3388,                 3.7419,                 4.1465,              0.0004406,              0.0004406,              0.0004406
                     14,                 3.4757,                 3.3688,                 4.1534,                0.00398,                0.36634,                0.01407,                0.00465,                 3.3375,                 3.7405,                 4.1443,              0.0004705,              0.0004705,              0.0004705
                     15,                 3.4821,                 3.5133,                  4.127,                0.00398,                0.36634,                0.01296,                0.00463,                 3.3368,                   3.74,                 4.1416,             0.00049961,             0.00049961,             0.00049961
                     16,                  3.394,                 3.3104,                 4.0955,                0.00398,                0.36634,                0.01642,                0.00637,                 3.3355,                 3.7399,                 4.1381,             0.00052793,             0.00052793,             0.00052793
                     17,                 3.4439,                 3.2252,                 4.0835,                0.00398,                0.36634,                0.02126,                0.00759,                 3.3339,                 3.7395,                 4.1344,             0.00055546,             0.00055546,             0.00055546
                     18,                 3.5198,                 3.2146,                 4.0608,                0.00409,                0.37624,                0.07804,                0.02348,                 3.3324,                 3.7387,                 4.1306,             0.00058219,             0.00058219,             0.00058219
                     19,                 3.1994,                 3.2883,                 4.0382,                0.00409,                0.37624,                0.07551,                0.02275,                 3.3309,                 3.7376,                 4.1265,             0.00060813,             0.00060813,             0.00060813
                     20,                 3.1866,                  3.116,                 3.9836,                0.00409,                0.37624,                 0.0628,                0.01986,                 3.3307,                 3.7374,                 4.1236,             0.00063328,             0.00063328,             0.00063328
                     21,                 3.3464,                 3.2255,                 3.9931,                0.00409,                0.37624,                0.05284,                0.01403,                 3.3311,                  3.736,                 4.1224,             0.00065764,             0.00065764,             0.00065764
                     22,                 3.0701,                 3.1287,                  3.928,                0.00409,                0.37624,                0.01059,                0.00383,                  3.334,                 3.7292,                 4.1279,             0.00068121,             0.00068121,             0.00068121
                     23,                 3.2562,                  3.131,                 3.9296,                0.00398,                0.36634,                0.00579,                0.00244,                  3.339,                 3.7207,                 4.1399,             0.00070398,             0.00070398,             0.00070398
                     24,                 3.1778,                 3.1262,                 3.9102,                0.00398,                0.36634,                0.00555,                0.00237,                 3.3443,                 3.7197,                 4.1587,             0.00072596,             0.00072596,             0.00072596
                     25,                 3.2805,                 3.1097,                  3.884,                0.00398,                0.36634,                0.00559,                0.00244,                  3.348,                 3.7243,                 4.1724,             0.00074715,             0.00074715,             0.00074715
                     26,                 3.1258,                 3.1165,                 3.8677,                0.00387,                0.35644,                0.00573,                0.00243,                 3.3524,                 3.7251,                 4.1829,             0.00076755,             0.00076755,             0.00076755
                     27,                 3.2091,                 3.0467,                  3.874,                0.00387,                0.35644,                0.00564,                0.00251,                 3.3558,                 3.7244,                 4.1913,             0.00078716,             0.00078716,             0.00078716
                     28,                 3.4023,                 3.0283,                 3.8372,                0.00387,                0.35644,                0.00564,                0.00251,                 3.3558,                 3.7244,                 4.1913,             0.00080597,             0.00080597,             0.00080597
                     29,                 3.3655,                 3.1342,                 3.8377,                0.00376,                0.34653,                 0.0063,                0.00274,                 3.3554,                 3.7322,                 4.1862,             0.00082399,             0.00082399,             0.00082399
                     30,                 3.5693,                 3.1193,                 3.8621,                0.00376,                0.34653,                0.00851,                0.00304,                 3.3529,                 3.7358,                  4.174,             0.00084122,             0.00084122,             0.00084122
                     31,                 3.4661,                 3.0759,                 3.8161,                0.00376,                0.34653,                0.00851,                0.00304,                 3.3529,                 3.7358,                  4.174,             0.00085766,             0.00085766,             0.00085766
                     32,                 3.1052,                 3.0344,                 3.7652,                0.00376,                0.34653,                0.01324,                0.00428,                 3.3514,                  3.732,                 4.1678,             0.00087331,             0.00087331,             0.00087331
                     33,                 3.2902,                 3.0725,                 3.8205,                0.00376,                0.34653,                 0.0086,                0.00317,                 3.3603,                  3.725,                  4.194,             0.00088816,             0.00088816,             0.00088816
                     34,                 3.1307,                 2.9452,                 3.7598,                0.00376,                0.34653,                 0.0086,                0.00317,                 3.3603,                  3.725,                  4.194,             0.00090222,             0.00090222,             0.00090222
                     35,                 3.1795,                 2.8957,                 3.6572,                0.00387,                0.35644,                0.00745,                0.00287,                 3.3587,                 3.7274,                 4.2271,             0.00091549,             0.00091549,             0.00091549
                     36,                 3.2322,                 2.8899,                 3.6566,                0.00387,                0.35644,                0.00706,                0.00281,                 3.3573,                 3.7228,                 4.2648,             0.00092797,             0.00092797,             0.00092797
                     37,                 3.1367,                 2.9234,                 3.6092,                0.00387,                0.35644,                0.00706,                0.00281,                 3.3573,                 3.7228,                 4.2648,             0.00093966,             0.00093966,             0.00093966
                     38,                 3.2533,                 2.9356,                 3.5566,                0.00387,                0.35644,                0.01181,                0.00426,                 3.3625,                 3.7162,                 4.3015,             0.00095055,             0.00095055,             0.00095055
                     39,                 3.1424,                 3.0072,                 3.6782,                0.00387,                0.35644,                 0.0119,                0.00424,                 3.3717,                 3.7097,                 4.3262,             0.00096065,             0.00096065,             0.00096065
